Carrera,Biologicos,Mecanicos,Campestres,Geofisicos,Sociales,Literarios,Organizacion,Persuasivo,Calculo,Contabilidad,Musical,Artistico,Cientificos
0,29,50,42,39,21,14,36,14,41,24,22,24,30
0,34,45,37,39,29,26,33,30,45,32,44,36,37
0,39,41,41,45,41,41,35,38,41,42,38,37,41
0,40,42,42,46,37,34,37,35,40,36,42,38,43
0,32,41,32,35,32,29,28,32,35,32,29,31,31
0,44,35,40,41,26,20,30,22,30,15,25,30,41
0,30,41,31,31,34,33,38,35,44,34,33,33,36
0,27,34,28,28,29,21,30,28,38,25,38,36,26
0,30,35,31,31,33,31,32,33,36,35,34,33,31
0,34,41,36,29,22,27,34,27,25,20,42,37,36
0,41,40,45,42,38,42,38,43,40,38,39,42,41
0,42,45,41,46,35,39,36,29,42,40,43,41,43
0,34,38,34,36,29,27,33,27,32,31,34,31,36
0,39,50,43,35,38,31,37,32,46,31,43,43,44
0,26,36,40,28,19,16,35,15,35,39,26,33,26
0,38,36,35,35,37,34,30,32,41,31,38,37,38
0,31,40,30,29,36,42,36,29,46,32,28,28,40
0,37,33,34,37,32,34,36,29,34,34,34,32,36
1,36,39,37,36,36,36,41,37,38,34,36,39,37
0,32,40,17,36,25,18,25,15,25,12,28,21,37
0,38,44,45,42,19,17,25,15,38,30,22,39,40
2,37,31,35,41,41,49,36,45,47,29,45,42,38
0,37,42,35,33,37,33,34,30,31,31,32,34,37
0,35,36,19,32,30,28,30,22,37,28,44,30,36
1,39,45,43,37,36,33,35,29,41,37,38,38,38
0,44,45,40,48,32,33,41,37,43,37,30,38,42
0,30,40,35,35,24,15,25,20,31,24,19,19,25
0,35,37,40,47,24,17,19,22,18,23,40,32,31
0,34,40,30,30,31,26,34,28,45,23,39,32,37
2,31,41,32,35,30,31,35,34,39,31,41,34,27
0,35,41,39,35,26,20,31,18,40,37,28,33,34
0,32,35,25,27,35,32,39,26,38,35,36,40,32
0,36,39,40,35,24,22,41,22,37,46,36,27,40
2,26,37,35,33,34,25,27,28,23,27,32,29,27
0,34,40,41,34,29,28,33,28,34,29,40,42,38
1,29,36,28,28,33,34,41,35,45,41,27,31,33
0,38,41,35,35,33,33,33,36,46,37,33,32,36
0,34,33,33,38,30,24,36,29,45,31,28,31,32
0,28,30,31,27,32,24,26,29,30,25,28,28,29
0,41,47,42,43,38,36,40,36,44,42,33,33,43
0,46,43,39,37,39,41,38,34,41,43,41,34,41
1,36,38,36,39,33,31,35,30,36,31,34,34,35
0,32,47,39,35,36,35,41,33,47,44,46,41,44
0,16,35,13,15,16,20,36,12,40,17,26,21,19
0,32,45,40,27,33,28,35,22,39,48,28,26,36
0,49,44,40,49,36,34,31,18,49,17,37,43,48
0,38,36,40,35,32,33,34,38,34,37,40,34,37
0,36,34,32,37,37,35,35,39,35,33,40,41,41
2,33,40,31,34,31,22,40,32,49,31,35,31,34
1,35,32,35,34,28,23,28,27,30,28,31,28,37
0,34,33,36,30,29,27,29,33,25,33,36,36,26
0,41,36,38,28,37,49,23,29,34,22,42,48,36
2,37,33,40,38,39,43,42,39,42,38,42,49,41
0,40,41,45,41,40,35,32,35,38,37,31,37,37
0,23,33,29,23,18,17,25,27,38,25,36,25,19
0,10,10,10,10,10,10,10,10,10,10,10,10,10
0,36,42,32,33,38,27,40,28,47,42,32,29,36
1,28,32,39,24,41,32,47,27,37,40,34,41,25
0,35,38,30,33,31,36,32,37,38,39,36,39,33
1,36,36,35,33,38,35,39,38,36,34,36,36,29
0,30,26,38,39,21,17,20,18,21,11,30,31,23
1,46,40,40,39,36,42,42,37,36,40,36,37,49
0,39,37,30,36,33,35,33,26,37,34,38,38,42
0,45,50,47,49,30,39,44,31,43,41,40,40,45
0,35,40,39,35,29,36,31,32,39,30,36,40,34
0,36,36,25,31,22,16,28,16,41,23,31,22,35
